brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
SIMPLY NATURE,"Organic Raspberry Preserves, 11 oz",11 oz,$2.95,779.6118859375001,0.0,311.84475437500004
STONEMILL,"Steak Seasoning, 3.4 oz",3.4 oz,$1.25,0.0,0.0,96.38837862500002
STONEMILL,"Lemon Pepper Seasoning, 3.5 oz",3.5 oz,$1.25,0.0,0.0,99.22333093750001
SIMPLY NATURE,"Organic Cayenne Pepper, 1.62 oz",1.62 oz,$2.09,0.0,0.0,45.92622746250001
STONEMILL,"Table Blend Salt Free Seasoning Blend, 2.5 oz",2.5 oz,$2.15,0.0,0.0,70.87380781250002
STONEMILL,"Lemon Pepper Salt Free Seasoning Blend, 2.5 oz",2.5 oz,$2.15,0.0,0.0,70.87380781250002
NORTHERN CATCH,"Smoked Oysters with Red Chili Pepper, 3 oz",3 oz,$1.45,222.4347199038462,14.392834817307696,85.04856937500001
REGGANO,"Creamy Beef Stroganoff Cheesy Skillet Dinner Kit, 11.6 oz",11.6 oz,$2.85,1080.5218242500002,32.885446825,328.85446825
BAKER'S CORNER,"Baking Powder, 8.1 oz",8.1 oz,$2.15,,,
TUSCAN GARDEN,"Zesty Italian Dressing, 16 fl oz",16 fl oz,$1.89,,,
TUSCAN GARDEN,"Thousand Island Dressing, 16 fl oz",16 fl oz,$1.89,,,
SIMPLY NATURE,"Organic Unrefined Coconut Oil, 14 fl oz",14 oz,$5.05,3401.942775,0.0,396.89332375000004
STONEMILL,"Parsley Flakes, 0.25 oz",0.25 oz,$1.25,21.262142343750003,1.4174761562500002,7.087380781250001
STONEMILL,"Garlic Powder, 3.12 oz",3.12 oz,$1.25,285.32423274193553,14.266211637096777,88.45051215000002
SIMPLY NATURE,"Organic Whole Wheat Spaghetti, 16 oz (1 lb)",16 oz (1,$1.99,1619.9727500000001,56.69904625000001,453.5923700000001
STONEMILL,"Brown Gravy Mix, 0.87 oz",0.87 oz,$0.55,82.21361706250002,4.110680853125001,24.664085118750005
CASA MAMITA,"Reduced Sodium Taco Seasoning Mix, 1 oz",1 oz,$0.55,85.04856937500001,0.0,28.349523125000005
SPECIALLY SELECTED,"Roasted Garlic Balsamic Vinaigrette Dressing, 12 fl oz",12 fl oz,$2.19,,,
TUSCAN GARDEN,"Ranch Salad Dressing and Seasoning Mix, 1 oz",1 oz,$0.55,78.74867534722223,0.0,28.349523125000005
TUSCAN GARDEN,"Italian Salad Dressing and Seasoning Mix, 0.7 oz",0.7 oz,$0.55,39.689332375000006,0.0,19.844666187500003
REGGANO,"Spaghetti, 32 oz",32 oz,$2.09,3239.9455000000003,113.39809250000002,907.1847400000001
REGGANO,"Ultimate Cheeseburger Cheesy Skillet Dinner Kit, 12.8 oz",12.8 oz,$2.85,,,
SIMPLY NATURE,"Organic Deluxe Shells and Cheese, 9.5 oz",9.5 oz,$2.85,874.4171093750002,31.479015937500005,269.32046968750006
SIMPLY NATURE,"Organic Apple Cider Vinegar, 33.8 fl oz",33.8 fl oz,$5.49,,,
CHEF'S CUPBOARD,"Condensed Cream of Chicken Soup, 10.5 oz",10.5 oz,$0.79,266.20893666158537,4.840162484756098,297.6699928125
CHEF'S CUPBOARD,"Fat Free Beef Broth, 32 oz",32 oz,$1.65,37.02794857142858,7.405589714285716,907.1847400000001
CHEF'S CUPBOARD,"Fat Free Beef Cooking Stock, 32 oz",32 oz,$1.89,37.02794857142858,7.405589714285716,907.1847400000001
SIMPLY NATURE,"Organic Low Sodium Chicken Broth, 32 oz",32 oz,$2.15,,,
SIMPLY NATURE,"Organic Garlic Powder, 2.5 oz",2.5 oz,$2.09,212.62142343750006,0.0,70.87380781250002
SIMPLY NATURE,"USDA Organic Black Beans, 15 oz Can",15 oz,$1.09,359.82087043269235,22.897691754807695,425.24284687500005
DEUTSCHE KÜCHE,"German Style Sauerkraut, 24 oz",24 oz,$1.65,235.51911519230774,10.467516230769233,680.3885550000001
PARK STREET DELI,"Mild Fresh Cut Salsa, 16 oz",16 oz,$2.75,78.20558103448276,0.0,453.5923700000001
PARK STREET DELI,"Medium Fresh Cut Salsa, 16 oz",16 oz,$2.75,,,
CHEF'S CUPBOARD,"Fat Free Vegetable Cooking Stock, 32 oz",32 oz,$1.89,,,
BURMAN'S,"Teriyaki Stir Fry Sauce, 14.5 oz",14.5 oz,$2.35,973.5823073190791,21.635162384868423,411.06808531250005
EARTHLY GRAINS,"New Orleans Style Jambalaya Rice Mix, 8 oz",8 oz,$1.55,835.5648921052633,17.904961973684216,226.79618500000004
SWEET HARVEST,"Pineapple Chunks in 100% Pineapple Juice, 20 oz Can",20 oz,$1.75,283.4952312500001,4.049931875000001,566.9904625000001
SWEET HARVEST,"Pineapple Slices, 20 oz Can",20 oz,$1.75,325.32239651639355,2.3237314036885253,566.9904625000001
PUEBLO LINDO,"Dry Black Beans, 32 oz",32 oz,$2.99,2073.56512,207.35651200000004,907.1847400000001
MILLVILLE,"Butter Flavored Pancake Syrup, 24 oz",24 fl oz,$2.59,,,
STONEMILL,"Oregano Leaves, 0.75 oz",0.75 oz,$1.25,63.786427031250014,0.0,21.262142343750003
SIMPLY NATURE,"Organic Ground Cumin, 1.5 oz",1.5 oz,$2.09,159.97230906250005,8.099863750000003,42.52428468750001
CARLINI,"Pure Olive Oil, 16.9 fl oz",16.9 fl oz,$6.45,,,
BURMAN'S,"Korma Curry Sauce, 15 oz",16 oz,$4.09,655.5049610344829,39.8137503448276,453.5923700000001
LUNCH BUDDIES,"Cinnamon Applesauce Cups, 6 count",6 x 4 oz,$2.19,,,
PRIANO,"Roasted Garlic Alfredo Sauce, 15 oz",15 oz,$1.89,418.27165266393445,6.9711942110655745,425.24284687500005
NORTHERN CATCH,"Sardines in Mustard Sauce, 3.75 oz",3.75 oz,$1.09,,,
STONEMILL,"Italian Seasoning, 0.75 oz",0.75 oz,$1.25,57.98766093750001,1.9329220312500004,21.262142343750003
STONEMILL,"Ground Cinnamon, 2.37 oz",2.37 oz,$1.25,172.77009378750003,0.0,67.18836980625001
CHEF'S CUPBOARD,"Four Cheese Homestyle Instant Mashed Potatoes, 4 oz",4 oz,$1.09,445.49250625,12.149795625000001,113.39809250000002
BAKER'S CORNER,"Marshmallows, 10 oz",10 oz,$1.09,944.984104166667,9.44984104166667,283.4952312500001
SIMPLY NATURE,"Organic Salted Butter, 16 oz",16 oz,$6.85,3239.9455000000003,0.0,453.5923700000001
BURMAN'S,"Tomato Ketchup, 38 oz",38 oz,$2.09,1267.3904455882357,0.0,1077.2818787500003
TUSCAN GARDEN,"Distilled White Vinegar, 32 fl oz",32 fl oz,$1.75,,,
BURMAN'S,"Kansas City Style BBQ Sauce, 19 oz",19 oz,$3.19,923.3844675000003,0.0,538.6409393750001
TUSCAN GARDEN,"Distilled White Vinegar, 128 fl oz",128 fl oz,$4.29,,,
BURMAN'S,"Carolina Style BBQ Sauce, 19 oz",19 oz,$3.19,923.3844675000003,0.0,538.6409393750001
BURMAN'S,"Memphis Style BBQ Sauce, 19 oz",19 oz,$3.19,792.1190284926473,0.0,538.6409393750001
LUNCH BUDDIES,"Strawberry and Orange Gel Cups, 4 count",4 x 3.25 oz,$1.29,,,
SIMPLY NATURE,"Organic Chipotle Ranch Dressing, 12 fl oz",12 fl oz,$3.65,,,
SIMPLY NATURE,"Organic Raspberry Preserves, 11 oz",11 oz,$2.95,779.6118859375001,0.0,311.84475437500004
STONEMILL,"Steak Seasoning, 3.4 oz",3.4 oz,$1.25,0.0,0.0,96.38837862500002
STONEMILL,"Lemon Pepper Seasoning, 3.5 oz",3.5 oz,$1.25,0.0,0.0,99.22333093750001
SIMPLY NATURE,"Organic Cayenne Pepper, 1.62 oz",1.62 oz,$2.09,0.0,0.0,45.92622746250001
STONEMILL,"Table Blend Salt Free Seasoning Blend, 2.5 oz",2.5 oz,$2.15,0.0,0.0,70.87380781250002
STONEMILL,"Lemon Pepper Salt Free Seasoning Blend, 2.5 oz",2.5 oz,$2.15,0.0,0.0,70.87380781250002
NORTHERN CATCH,"Smoked Oysters with Red Chili Pepper, 3 oz",3 oz,$1.45,222.4347199038462,14.392834817307696,85.04856937500001
REGGANO,"Creamy Beef Stroganoff Cheesy Skillet Dinner Kit, 11.6 oz",11.6 oz,$2.85,1080.5218242500002,32.885446825,328.85446825
BAKER'S CORNER,"Baking Powder, 8.1 oz",8.1 oz,$2.15,0.0,0.0,229.63113731250002
TUSCAN GARDEN,"Zesty Italian Dressing, 16 fl oz",16 fl oz,$1.89,,,
TUSCAN GARDEN,"Thousand Island Dressing, 16 fl oz",16 fl oz,$1.89,,,
SIMPLY NATURE,"Organic Unrefined Coconut Oil, 14 fl oz",14 oz,$5.05,3401.942775,0.0,396.89332375000004
STONEMILL,"Parsley Flakes, 0.25 oz",0.25 oz,$1.25,21.262142343750003,1.4174761562500002,7.087380781250001
STONEMILL,"Garlic Powder, 3.12 oz",3.12 oz,$1.25,285.32423274193553,14.266211637096777,88.45051215000002
SIMPLY NATURE,"Organic Whole Wheat Spaghetti, 16 oz (1 lb)",16 oz (1,$1.99,1619.9727500000001,56.69904625000001,453.5923700000001
STONEMILL,"Brown Gravy Mix, 0.87 oz",0.87 oz,$0.55,82.21361706250002,4.110680853125001,24.664085118750005
CASA MAMITA,"Reduced Sodium Taco Seasoning Mix, 1 oz",1 oz,$0.55,85.04856937500001,0.0,28.349523125000005
SPECIALLY SELECTED,"Roasted Garlic Balsamic Vinaigrette Dressing, 12 fl oz",12 fl oz,$2.19,,,
TUSCAN GARDEN,"Ranch Salad Dressing and Seasoning Mix, 1 oz",1 oz,$0.55,78.74867534722223,0.0,28.349523125000005
TUSCAN GARDEN,"Italian Salad Dressing and Seasoning Mix, 0.7 oz",0.7 oz,$0.55,39.689332375000006,0.0,19.844666187500003
REGGANO,"Spaghetti, 32 oz",32 oz,$2.09,3239.9455000000003,113.39809250000002,907.1847400000001
REGGANO,"Ultimate Cheeseburger Cheesy Skillet Dinner Kit, 12.8 oz",12.8 oz,$2.85,,,
SIMPLY NATURE,"Organic Deluxe Shells and Cheese, 9.5 oz",9.5 oz,$2.85,874.4171093750002,31.479015937500005,269.32046968750006
SIMPLY NATURE,"Organic Apple Cider Vinegar, 33.8 fl oz",33.8 fl oz,$5.49,,,
CHEF'S CUPBOARD,"Condensed Cream of Chicken Soup, 10.5 oz",10.5 oz,$0.79,266.20893666158537,4.840162484756098,297.6699928125
CHEF'S CUPBOARD,"Fat Free Beef Broth, 32 oz",32 oz,$1.65,37.02794857142858,7.405589714285716,907.1847400000001
CHEF'S CUPBOARD,"Fat Free Beef Cooking Stock, 32 oz",32 oz,$1.89,37.02794857142858,7.405589714285716,907.1847400000001
SIMPLY NATURE,"Organic Low Sodium Chicken Broth, 32 oz",32 oz,$2.15,,,
SIMPLY NATURE,"Organic Garlic Powder, 2.5 oz",2.5 oz,$2.09,212.62142343750006,0.0,70.87380781250002
SIMPLY NATURE,"USDA Organic Black Beans, 15 oz Can",15 oz,$1.09,359.82087043269235,22.897691754807695,425.24284687500005
DEUTSCHE KÜCHE,"German Style Sauerkraut, 24 oz",24 oz,$1.65,235.51911519230774,10.467516230769233,680.3885550000001
PARK STREET DELI,"Mild Fresh Cut Salsa, 16 oz",16 oz,$2.75,78.20558103448276,0.0,453.5923700000001
PARK STREET DELI,"Medium Fresh Cut Salsa, 16 oz",16 oz,$2.75,,,
CHEF'S CUPBOARD,"Fat Free Vegetable Cooking Stock, 32 oz",32 oz,$1.89,,,
BURMAN'S,"Teriyaki Stir Fry Sauce, 14.5 oz",14.5 oz,$2.35,973.5823073190791,21.635162384868423,411.06808531250005
EARTHLY GRAINS,"New Orleans Style Jambalaya Rice Mix, 8 oz",8 oz,$1.55,835.5648921052633,17.904961973684216,226.79618500000004
SWEET HARVEST,"Pineapple Chunks in 100% Pineapple Juice, 20 oz Can",20 oz,$1.75,283.4952312500001,4.049931875000001,566.9904625000001
SWEET HARVEST,"Pineapple Slices, 20 oz Can",20 oz,$1.75,325.32239651639355,2.3237314036885253,566.9904625000001
PUEBLO LINDO,"Dry Black Beans, 32 oz",32 oz,$2.99,2073.56512,207.35651200000004,907.1847400000001
MILLVILLE,"Butter Flavored Pancake Syrup, 24 oz",24 fl oz,$2.59,,,
STONEMILL,"Oregano Leaves, 0.75 oz",0.75 oz,$1.25,63.786427031250014,0.0,21.262142343750003
SIMPLY NATURE,"Organic Ground Cumin, 1.5 oz",1.5 oz,$2.09,,,
CARLINI,"Pure Olive Oil, 16.9 fl oz",16.9 fl oz,$6.45,,,
BURMAN'S,"Korma Curry Sauce, 15 oz",16 oz,$4.09,377.9936416666667,7.559872833333334,453.5923700000001
LUNCH BUDDIES,"Cinnamon Applesauce Cups, 6 count",6 x 4 oz,$2.19,,,
PRIANO,"Roasted Garlic Alfredo Sauce, 15 oz",15 oz,$1.89,418.27165266393445,6.9711942110655745,425.24284687500005
NORTHERN CATCH,"Sardines in Mustard Sauce, 3.75 oz",3.75 oz,$1.09,,,
STONEMILL,"Italian Seasoning, 0.75 oz",0.75 oz,$1.25,57.98766093750001,1.9329220312500004,21.262142343750003
STONEMILL,"Ground Cinnamon, 2.37 oz",2.37 oz,$1.25,172.77009378750003,0.0,67.18836980625001
CHEF'S CUPBOARD,"Four Cheese Homestyle Instant Mashed Potatoes, 4 oz",4 oz,$1.09,445.49250625,12.149795625000001,113.39809250000002
BAKER'S CORNER,"Marshmallows, 10 oz",10 oz,$1.09,944.984104166667,9.44984104166667,283.4952312500001
SIMPLY NATURE,"Organic Salted Butter, 16 oz",16 oz,$6.85,3239.9455000000003,0.0,453.5923700000001
BURMAN'S,"Tomato Ketchup, 38 oz",38 oz,$2.09,1267.3904455882357,0.0,1077.2818787500003
TUSCAN GARDEN,"Distilled White Vinegar, 32 fl oz",32 fl oz,$1.75,,,
BURMAN'S,"Kansas City Style BBQ Sauce, 19 oz",19 oz,$3.19,923.3844675000003,0.0,538.6409393750001
TUSCAN GARDEN,"Distilled White Vinegar, 128 fl oz",128 fl oz,$4.29,,,
BURMAN'S,"Carolina Style BBQ Sauce, 19 oz",19 oz,$3.19,923.3844675000003,0.0,538.6409393750001
BURMAN'S,"Memphis Style BBQ Sauce, 19 oz",19 oz,$3.19,792.1190284926473,0.0,538.6409393750001
LUNCH BUDDIES,"Strawberry and Orange Gel Cups, 4 count",4 x 3.25 oz,$1.29,,,
SIMPLY NATURE,"Organic Chipotle Ranch Dressing, 12 fl oz",12 fl oz,$3.65,,,
SIMPLY NATURE,"Organic Raspberry Preserves, 11 oz",11 oz,$2.95,779.6118859375001,0.0,311.84475437500004
STONEMILL,"Steak Seasoning, 3.4 oz",3.4 oz,$1.25,0.0,0.0,96.38837862500002
STONEMILL,"Lemon Pepper Seasoning, 3.5 oz",3.5 oz,$1.25,0.0,0.0,99.22333093750001
SIMPLY NATURE,"Organic Cayenne Pepper, 1.62 oz",1.62 oz,$2.09,0.0,0.0,45.92622746250001
STONEMILL,"Table Blend Salt Free Seasoning Blend, 2.5 oz",2.5 oz,$2.15,0.0,0.0,70.87380781250002
STONEMILL,"Lemon Pepper Salt Free Seasoning Blend, 2.5 oz",2.5 oz,$2.15,0.0,0.0,70.87380781250002
NORTHERN CATCH,"Smoked Oysters with Red Chili Pepper, 3 oz",3 oz,$1.45,222.4347199038462,14.392834817307696,85.04856937500001
REGGANO,"Creamy Beef Stroganoff Cheesy Skillet Dinner Kit, 11.6 oz",11.6 oz,$2.85,1080.5218242500002,32.885446825,328.85446825
BAKER'S CORNER,"Baking Powder, 8.1 oz",8.1 oz,$2.15,0.0,0.0,229.63113731250002
TUSCAN GARDEN,"Zesty Italian Dressing, 16 fl oz",16 fl oz,$1.89,,,
TUSCAN GARDEN,"Thousand Island Dressing, 16 fl oz",16 fl oz,$1.89,,,
SIMPLY NATURE,"Organic Unrefined Coconut Oil, 14 fl oz",14 oz,$5.05,3401.942775,0.0,396.89332375000004
STONEMILL,"Parsley Flakes, 0.25 oz",0.25 oz,$1.25,21.262142343750003,1.4174761562500002,7.087380781250001
STONEMILL,"Garlic Powder, 3.12 oz",3.12 oz,$1.25,285.32423274193553,14.266211637096777,88.45051215000002
SIMPLY NATURE,"Organic Whole Wheat Spaghetti, 16 oz (1 lb)",16 oz (1,$1.99,1619.9727500000001,56.69904625000001,453.5923700000001
STONEMILL,"Brown Gravy Mix, 0.87 oz",0.87 oz,$0.55,82.21361706250002,4.110680853125001,24.664085118750005
CASA MAMITA,"Reduced Sodium Taco Seasoning Mix, 1 oz",1 oz,$0.55,85.04856937500001,0.0,28.349523125000005
SPECIALLY SELECTED,"Roasted Garlic Balsamic Vinaigrette Dressing, 12 fl oz",12 fl oz,$2.19,,,
TUSCAN GARDEN,"Ranch Salad Dressing and Seasoning Mix, 1 oz",1 oz,$0.55,78.74867534722223,0.0,28.349523125000005
TUSCAN GARDEN,"Italian Salad Dressing and Seasoning Mix, 0.7 oz",0.7 oz,$0.55,39.689332375000006,0.0,19.844666187500003
REGGANO,"Spaghetti, 32 oz",32 oz,$2.09,3239.9455000000003,113.39809250000002,907.1847400000001
REGGANO,"Ultimate Cheeseburger Cheesy Skillet Dinner Kit, 12.8 oz",12.8 oz,$2.85,,,
SIMPLY NATURE,"Organic Deluxe Shells and Cheese, 9.5 oz",9.5 oz,$2.85,874.4171093750002,31.479015937500005,269.32046968750006
SIMPLY NATURE,"Organic Apple Cider Vinegar, 33.8 fl oz",33.8 fl oz,$5.49,,,
CHEF'S CUPBOARD,"Condensed Cream of Chicken Soup, 10.5 oz",10.5 oz,$0.79,266.20893666158537,4.840162484756098,297.6699928125
CHEF'S CUPBOARD,"Fat Free Beef Broth, 32 oz",32 oz,$1.65,37.02794857142858,7.405589714285716,907.1847400000001
CHEF'S CUPBOARD,"Fat Free Beef Cooking Stock, 32 oz",32 oz,$1.89,37.02794857142858,7.405589714285716,907.1847400000001
SIMPLY NATURE,"Organic Low Sodium Chicken Broth, 32 oz",32 oz,$2.15,18.51397428571429,3.702794857142858,907.1847400000001
SIMPLY NATURE,"Organic Garlic Powder, 2.5 oz",2.5 oz,$2.09,212.62142343750006,0.0,70.87380781250002
SIMPLY NATURE,"USDA Organic Black Beans, 15 oz Can",15 oz,$1.09,359.82087043269235,22.897691754807695,425.24284687500005
DEUTSCHE KÜCHE,"German Style Sauerkraut, 24 oz",24 oz,$1.65,235.51911519230774,10.467516230769233,680.3885550000001
PARK STREET DELI,"Mild Fresh Cut Salsa, 16 oz",16 oz,$2.75,78.20558103448276,0.0,453.5923700000001
PARK STREET DELI,"Medium Fresh Cut Salsa, 16 oz",16 oz,$2.75,,,
CHEF'S CUPBOARD,"Fat Free Vegetable Cooking Stock, 32 oz",32 oz,$1.89,,,
BURMAN'S,"Teriyaki Stir Fry Sauce, 14.5 oz",14.5 oz,$2.35,973.5823073190791,21.635162384868423,411.06808531250005
EARTHLY GRAINS,"New Orleans Style Jambalaya Rice Mix, 8 oz",8 oz,$1.55,835.5648921052633,17.904961973684216,226.79618500000004
SWEET HARVEST,"Pineapple Chunks in 100% Pineapple Juice, 20 oz Can",20 oz,$1.75,325.32239651639355,2.3237314036885253,566.9904625000001
SWEET HARVEST,"Pineapple Slices, 20 oz Can",20 oz,$1.75,325.32239651639355,2.3237314036885253,566.9904625000001
PUEBLO LINDO,"Dry Black Beans, 32 oz",32 oz,$2.99,2073.56512,207.35651200000004,907.1847400000001
MILLVILLE,"Butter Flavored Pancake Syrup, 24 oz",24 fl oz,$2.59,,,
STONEMILL,"Oregano Leaves, 0.75 oz",0.75 oz,$1.25,57.40778432812501,2.1262142343750003,21.262142343750003
SIMPLY NATURE,"Organic Ground Cumin, 1.5 oz",1.5 oz,$2.09,159.97230906250005,8.099863750000003,42.52428468750001
CARLINI,"Pure Olive Oil, 16.9 fl oz",16.9 fl oz,$6.45,,,
BURMAN'S,"Korma Curry Sauce, 15 oz",16 oz,$4.09,377.9936416666667,7.559872833333334,453.5923700000001
LUNCH BUDDIES,"Cinnamon Applesauce Cups, 6 count",6 x 4 oz,$2.19,,,
PRIANO,"Roasted Garlic Alfredo Sauce, 15 oz",15 oz,$1.89,418.27165266393445,6.9711942110655745,425.24284687500005
NORTHERN CATCH,"Sardines in Mustard Sauce, 3.75 oz",3.75 oz,$1.09,,,
STONEMILL,"Italian Seasoning, 0.75 oz",0.75 oz,$1.25,57.98766093750001,1.9329220312500004,21.262142343750003
STONEMILL,"Ground Cinnamon, 2.37 oz",2.37 oz,$1.25,172.77009378750003,0.0,67.18836980625001
CHEF'S CUPBOARD,"Four Cheese Homestyle Instant Mashed Potatoes, 4 oz",4 oz,$1.09,445.49250625,12.149795625000001,113.39809250000002
BAKER'S CORNER,"Marshmallows, 10 oz",10 oz,$1.09,944.984104166667,9.44984104166667,283.4952312500001
SIMPLY NATURE,"Organic Salted Butter, 16 oz",16 oz,$6.85,3239.9455000000003,0.0,453.5923700000001
BURMAN'S,"Tomato Ketchup, 38 oz",38 oz,$2.09,1267.3904455882357,0.0,1077.2818787500003
TUSCAN GARDEN,"Distilled White Vinegar, 32 fl oz",32 fl oz,$1.75,,,
BURMAN'S,"Kansas City Style BBQ Sauce, 19 oz",19 oz,$3.19,923.3844675000003,0.0,538.6409393750001
TUSCAN GARDEN,"Distilled White Vinegar, 128 fl oz",128 fl oz,$4.29,,,
BURMAN'S,"Carolina Style BBQ Sauce, 19 oz",19 oz,$3.19,923.3844675000003,0.0,538.6409393750001
BURMAN'S,"Memphis Style BBQ Sauce, 19 oz",19 oz,$3.19,792.1190284926473,0.0,538.6409393750001
LUNCH BUDDIES,"Strawberry and Orange Gel Cups, 4 count",4 x 3.25 oz,$1.29,,,
SIMPLY NATURE,"Organic Chipotle Ranch Dressing, 12 fl oz",12 fl oz,$3.65,,,
SIMPLY NATURE,"Organic Raspberry Preserves, 11 oz",11 oz,$2.95,779.6118859375001,0.0,311.84475437500004
STONEMILL,"Steak Seasoning, 3.4 oz",3.4 oz,$1.25,0.0,0.0,96.38837862500002
STONEMILL,"Lemon Pepper Seasoning, 3.5 oz",3.5 oz,$1.25,0.0,0.0,99.22333093750001
SIMPLY NATURE,"Organic Cayenne Pepper, 1.62 oz",1.62 oz,$2.09,0.0,0.0,45.92622746250001
STONEMILL,"Table Blend Salt Free Seasoning Blend, 2.5 oz",2.5 oz,$2.15,0.0,0.0,70.87380781250002
STONEMILL,"Lemon Pepper Salt Free Seasoning Blend, 2.5 oz",2.5 oz,$2.15,0.0,0.0,70.87380781250002
NORTHERN CATCH,"Smoked Oysters with Red Chili Pepper, 3 oz",3 oz,$1.45,222.4347199038462,14.392834817307696,85.04856937500001
REGGANO,"Creamy Beef Stroganoff Cheesy Skillet Dinner Kit, 11.6 oz",11.6 oz,$2.85,1080.5218242500002,32.885446825,328.85446825
BAKER'S CORNER,"Baking Powder, 8.1 oz",8.1 oz,$2.15,0.0,0.0,229.63113731250002
TUSCAN GARDEN,"Zesty Italian Dressing, 16 fl oz",16 fl oz,$1.89,,,
TUSCAN GARDEN,"Thousand Island Dressing, 16 fl oz",16 fl oz,$1.89,,,
SIMPLY NATURE,"Organic Unrefined Coconut Oil, 14 fl oz",14 oz,$5.05,3401.942775,0.0,396.89332375000004
STONEMILL,"Parsley Flakes, 0.25 oz",0.25 oz,$1.25,21.262142343750003,1.4174761562500002,7.087380781250001
STONEMILL,"Garlic Powder, 3.12 oz",3.12 oz,$1.25,285.32423274193553,14.266211637096777,88.45051215000002
SIMPLY NATURE,"Organic Whole Wheat Spaghetti, 16 oz (1 lb)",16 oz (1,$1.99,1619.9727500000001,56.69904625000001,453.5923700000001
STONEMILL,"Brown Gravy Mix, 0.87 oz",0.87 oz,$0.55,82.21361706250002,4.110680853125001,24.664085118750005
CASA MAMITA,"Reduced Sodium Taco Seasoning Mix, 1 oz",1 oz,$0.55,85.04856937500001,0.0,28.349523125000005
SPECIALLY SELECTED,"Roasted Garlic Balsamic Vinaigrette Dressing, 12 fl oz",12 fl oz,$2.19,,,
TUSCAN GARDEN,"Ranch Salad Dressing and Seasoning Mix, 1 oz",1 oz,$0.55,78.74867534722223,0.0,28.349523125000005
TUSCAN GARDEN,"Italian Salad Dressing and Seasoning Mix, 0.7 oz",0.7 oz,$0.55,39.689332375000006,0.0,19.844666187500003
REGGANO,"Spaghetti, 32 oz",32 oz,$2.09,3239.9455000000003,113.39809250000002,907.1847400000001
REGGANO,"Ultimate Cheeseburger Cheesy Skillet Dinner Kit, 12.8 oz",12.8 oz,$2.85,,,
SIMPLY NATURE,"Organic Deluxe Shells and Cheese, 9.5 oz",9.5 oz,$2.85,874.4171093750002,31.479015937500005,269.32046968750006
SIMPLY NATURE,"Organic Apple Cider Vinegar, 33.8 fl oz",33.8 fl oz,$5.49,,,
CHEF'S CUPBOARD,"Condensed Cream of Chicken Soup, 10.5 oz",10.5 oz,$0.79,266.20893666158537,4.840162484756098,297.6699928125
CHEF'S CUPBOARD,"Fat Free Beef Broth, 32 oz",32 oz,$1.65,37.02794857142858,7.405589714285716,907.1847400000001
CHEF'S CUPBOARD,"Fat Free Beef Cooking Stock, 32 oz",32 oz,$1.89,37.02794857142858,7.405589714285716,907.1847400000001
SIMPLY NATURE,"Organic Low Sodium Chicken Broth, 32 oz",32 oz,$2.15,,,
SIMPLY NATURE,"Organic Garlic Powder, 2.5 oz",2.5 oz,$2.09,212.62142343750006,0.0,70.87380781250002
SIMPLY NATURE,"USDA Organic Black Beans, 15 oz Can",15 oz,$1.09,359.82087043269235,22.897691754807695,425.24284687500005
DEUTSCHE KÜCHE,"German Style Sauerkraut, 24 oz",24 oz,$1.65,235.51911519230774,10.467516230769233,680.3885550000001
PARK STREET DELI,"Mild Fresh Cut Salsa, 16 oz",16 oz,$2.75,78.20558103448276,0.0,453.5923700000001
PARK STREET DELI,"Medium Fresh Cut Salsa, 16 oz",16 oz,$2.75,,,
CHEF'S CUPBOARD,"Fat Free Vegetable Cooking Stock, 32 oz",32 oz,$1.89,,,
BURMAN'S,"Teriyaki Stir Fry Sauce, 14.5 oz",14.5 oz,$2.35,973.5823073190791,21.635162384868423,411.06808531250005
EARTHLY GRAINS,"New Orleans Style Jambalaya Rice Mix, 8 oz",8 oz,$1.55,835.5648921052633,17.904961973684216,226.79618500000004
SWEET HARVEST,"Pineapple Chunks in 100% Pineapple Juice, 20 oz Can",20 oz,$1.75,283.4952312500001,4.049931875000001,566.9904625000001
SWEET HARVEST,"Pineapple Slices, 20 oz Can",20 oz,$1.75,325.32239651639355,2.3237314036885253,566.9904625000001
PUEBLO LINDO,"Dry Black Beans, 32 oz",32 oz,$2.99,2073.56512,207.35651200000004,907.1847400000001
MILLVILLE,"Butter Flavored Pancake Syrup, 24 oz",24 fl oz,$2.59,,,
STONEMILL,"Oregano Leaves, 0.75 oz",0.75 oz,$1.25,57.40778432812501,2.1262142343750003,21.262142343750003
SIMPLY NATURE,"Organic Ground Cumin, 1.5 oz",1.5 oz,$2.09,,,
CARLINI,"Pure Olive Oil, 16.9 fl oz",16.9 fl oz,$6.45,,,
BURMAN'S,"Korma Curry Sauce, 15 oz",16 oz,$4.09,655.5049610344829,39.8137503448276,453.5923700000001
LUNCH BUDDIES,"Cinnamon Applesauce Cups, 6 count",6 x 4 oz,$2.19,,,
PRIANO,"Roasted Garlic Alfredo Sauce, 15 oz",15 oz,$1.89,418.27165266393445,6.9711942110655745,425.24284687500005
NORTHERN CATCH,"Sardines in Mustard Sauce, 3.75 oz",3.75 oz,$1.09,,,
STONEMILL,"Italian Seasoning, 0.75 oz",0.75 oz,$1.25,57.98766093750001,1.9329220312500004,21.262142343750003
STONEMILL,"Ground Cinnamon, 2.37 oz",2.37 oz,$1.25,172.77009378750003,0.0,67.18836980625001
